id	Name	Descriptor																							
times-square	Times Square	New York																							
granville-island	Granville Island	Vancouver																							
colosseum	The Colosseum	Rome																							
shibuya	Shibuya Crossing	Tokyo																							
borough-market	Borough Market	London																							
boqueria	La Boqueria	Barcelona																							
french-quarter	The French Quarter	New Orleans																							
montmartre	Montmartre	Paris																							
haight	Haight-Ashbury	San Francisco																							
gamla-stan	Gamla Stan	Stockholm																							
deira-spice	Deira Spice Souk	Dubai																							
petit-champlain	Quartier Petit Champlain	Quebec City																							
fitzroy	Fitzroy	Melbourne																							
caminito	Caminito	Buenos Aires																							
fez-medina	Medina of Fez	Morocco																							
innere-stadt	Innere Stadt	Vienna																							
nakameguro	Nakameguro	Tokyo																							
notting-hill	Notting Hill	London																							
pike-place	Pike Place Market	Seattle																							
trastevere	Trastevere	Rome
